
28,Senior Cloud Engineer (Devops),Fractal Analytics Ltd,3,7,NA,NA,"Unix,Automation,Networking,Linux,ISO,PAAS,Shell scripting,HIPAA","0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0"
29,Sr. Devops Engineer,Altostratus Solutions,3,5,NA,NA,"IT Skills,Java,Python,Testing,Cloud,DevOps,Node.js,AWS","1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0"
30,Sr.Devops engineer,Onmobile Global Limited,5,8,NA,NA,"Devops,Linux,RHCE","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0"
31,Senior DevOps Engineer,SAP India Pvt.Ltd,5,10,NA,NA,"IT Skills,Java,Python,Software Development,Cloud,Javascript,SAP,Azure","1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0"
32,Looking For Senior Devops Engineer | Bangalore,Apttus Software Private Limited,5,8,NA,NA,"IT Skills,Software Development,Cloud,DevOps,Jenkins,AWS,Azure,Cd","0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0"
33,Senior Azure Devops Engineer (Bangalore),ZapCom Solutions Pvt Ltd,4,9,5.0,15.0,"IT Skills,Java,Python,Cloud,DevOps,AWS,.Net,Azure","1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0"
34,Senior DevOps Engineer,CodeCraft Technologies Pvt Ltd,5,10,NA,NA,"IT Skills,Python,Cloud,Jenkins,AWS,Azure,Maven,CVS","1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0"
35,Senior DevOps Engineer,"CodeCrafts, Inc",5,10,NA,NA,"IT Skills,Python,Cloud,Jenkins,AWS,Azure,Maven,CVS","1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0"
36,Devops Engineer,Synechron Technologies Pvt Ltd,5,9,10.0,18.0,"IT Skills,Java,Jenkins,Jenkins,Java,Docker,Teamcity,Elk","0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0"
37,Kubernetes DevOps Engineer,Awdiz,5,10,NA,NA,"IT Skills,Python,Cloud,DevOps,AWS,Azure, CI/CD ,Kubernetes DevOps Engineer","1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0"
38,SPi is hiring Senior Devops Engineer (Immediate joiners - Chennai),SPI TECHNOLOGIES INDIA PRIVATE LIMITED,4,9,NA,NA,"Maven,Linux,Docker,Sonar,Ansible,SonarQube,JIRA,Devops","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0"
39,Devops Engineer (7-12 Years),CBRE South Asia Pvt Ltd,7,12,NA,NA,"CI / CD,Azure,Docker,devops,Cloud,jenkins,terraform,AWS","0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1"
40,Automation Engineer (Exp.in Powershel/Python with DevOps) NCR location,HEADSTRONG SERVICES INDIA PRIVATE LIMITED,3,8,NA,NA,"Build Automation,IT Skills,Python,Cloud,DevOps,AWS,Azure,Cloudstack","1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0"
41,Senior DevOps Engineer,Rythmos,5,10,NA,NA,"IT Skills,Python,Software Development,Cloud,DevOps,Node.js,Jenkins,AWS","1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0"
