45,Blockchain Architect,Careerera,3,8,NA,NA,"Architect,Fabric programming,PAAS,Banking,Cloud,Customer support,Cryptography,angularjs",0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,Blockchain Developer - Ethereum/ Node.js,Benchire,2,6,NA,NA,"RESTful API,Docker,Blockchain Implementation,Blockchain,Ethereum,RESTful Webservices,Node.js,Blockchain Architect",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
47,Blockchain Developer - Ethereum/node.js,Benchire,2,6,NA,NA,"RESTful API,Blockchain Implementation,Blockchain,RESTful Webservices,Node.js,Algorithm,Cloud Infrastructure,MS Azure",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
48,Blockchain Developer,WhiteCode,2,7,NA,NA,"github,Version control,GIT,Agile scrum,Architecture,TDD,Javascript,Agile",1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Architect - Blockchain,Careerera,10,12,NA,NA,"Supply chain,Computer science,C++,Javascript,Customer support,Application security,Cryptography,Monitoring",0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,Opportunities For Blockchain Professionals at Pune,NTT DATA GLOBAL DELIVERY SERVICES PRIVATE LIMITED,4,8,NA,NA,"blockchain,poc developer,POC Development,poc programming",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Blockchain Developer,Virtual Gain Technologies Pvt. Ltd.,3,7,NA,NA,"Distribution System,Java,node,c++,blockchain programming,Protocol Designing,blockchain node,Node.Js",1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,Blockchain Developers,Tokyo Techie,5,10,NA,NA,"development,Networking,ECC,technical,software,JSON,mca,Management",1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,Blockchain Developer,Perscitus Solution,2,4,NA,NA,"Manager Technology,Application development",1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Blockchain Developer,Piller Soft Technology,3,7,NA,NA,"Spring,ORMS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,"Urgent hiring For Blockchain Hyperledger Indy, Ursa, Aries",Mindaquest Business Solution Pvt Ltd,10,15,NA,NA,"Hyperledger,Blockchain",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
