,,,,,,,,Python,Java,JavaScript,C,Ruby,Shell,C++,C#,.NET,HTML,NodeJS,AngularJS,SDK,GIT,SCM,Kubernetes,Serverless,IaaC,Microservices,Docker,Ensemble,Safe,Puppet,CICD,Lambda,SQS,SQL,NoSQL,DynamoDB,AWS,GCP,Azure,ELK,EKS,NIST,CIS,ISO 27001,GDPR,CIS v7,CEH,CISSP,CISA,CISM,CompTIA Security+
33,HCL Technologies is hiring For Cyber Security- Noida- 15-18 years,Hcl Technologies Limited,15,18,NA,NA,"Cyber Security,Cisa,Risk Assessment,SOC,cyber threat,Nist,Cyber Attack,Cissp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0
34,Cyber Security Analyst & Report Writer,Indian School of Ethical Hacking,1,4,NA,NA,"Technical analysis,cyber security analyst,cyber security,Analytical,Research",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cyber Security Analyst (Soc) Security Automation,Rectras Business Solutions Pvt Ltd.,3,8,NA,NA,"Unix,Automation,cyber security analyst,Linux,SOC,SNMP,Network security,Windows",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Cyber Security Specialist [Threat Modelling,Cyber Security Standards]",eInfochips Limited,10,15,NA,NA,"cyber security,HIPAA,software engineering,NERC",1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
37,Cyber Security Software Developer,"Identity and Access solutions, LLC",0,5,NA,NA,"Cyber Security,IT Skills,Java,Cloud,Java,C++,IAM,Python",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Developer II /III - Cybersecurity,Expeditors International (India) Pvt. Ltd,5,10,NA,NA,"IT Skills,Java,Software Development,Testing,Jenkins,Java Developer,Core Java,Hibernate",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Cyber Security Engineer,HRHONCHOS CONSULTING  SOLUTIONS PRIVATE LIMITED,5,10,10,15,"Database Security,Information Security,Python,IT Skills,Python,Big Data,AWS,Azure",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
40,Cyber Security Analyst,Future Pipe Industries LLC.,5,7,NA,NA,"Ethical Hacking,Security Analysis,Certified Ethical Hacker,Identity Access Management,Cyber Forensics,Cyber Security,Ceh,Information Security",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,Specialist SE- Cyber Security,Societe Generale Global Solution Centre Pvt Ltd,4,8,NA,NA,"IT Skills,Java,Python,Testing,Cloud,React.js,ASP.Net,Mobile Security",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
42,"Manager, Cyber Security Engineering",ExecBoardinAsia,11,15,NA,NA,"Training,Career development,cyber security,Coding,Talent acquisition,Agile,Technical Lead,Management",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
